actor_id,display_name,country,target_country,actor_class,party_current,party_origin,state_affiliation,priority,manual_include,selection_basis,network_tags,role_note,languages,collection_scope,public_export_policy,activity_validation,evidence_url,verified_at,notes
by_mod,Belarus Ministry of Defence,BY,,official_state_source,,,Republic of Belarus,high,True,manual_core_actor,belarus_information_space|military,,be|ru|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.mil.by/en/,2026-07-18,
by_mfa,Belarus Ministry of Foreign Affairs,BY,,official_state_source,,,Republic of Belarus,critical,True,manual_core_actor,belarus_information_space|diplomatic_messaging,,be|ru|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://mfa.gov.by/en/,2026-07-18,
by_embassy_germany,Embassy of Belarus in Germany,BY,DE,official_state_source,,,Republic of Belarus,high,True,manual_core_actor,belarus_information_space|german_target,,be|ru|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://germany.mfa.gov.by/en/,2026-07-18,
by_president,President of Belarus press service,BY,,official_state_source,,,Republic of Belarus,high,True,manual_core_actor,belarus_information_space|official_origin,,be|ru|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://president.gov.by/en,2026-07-18,
by_belta,BelTA,BY,,state_media,,,Republic of Belarus,critical,True,manual_core_actor,belarus_information_space|official_news_agency,,be|ru|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://eng.belta.by/,2026-07-18,
by_belarus1,Belarus 1,BY,,state_media,,,Republic of Belarus,normal,True,manual_core_actor,belarus_information_space|television,,be|ru|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.tvr.by/eng/,2026-07-18,
by_ont,ONT,BY,,state_media,,,Republic of Belarus,normal,True,manual_core_actor,belarus_information_space|television,,be|ru|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://ont.by/,2026-07-18,
by_sb,SB Belarus Today,BY,,state_media,,,Republic of Belarus,high,True,manual_core_actor,belarus_information_space|state_media,,be|ru|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.sb.by/en/,2026-07-18,
cn_glassbridge,Glassbridge network,CN,,known_fimi_infrastructure,,,People's Republic of China,high,True,manual_core_actor,china_information_space|content_network,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.recordedfuture.com/research/chinese-influence-operation-targets-us-elections,2026-07-18,
cn_hai_energy,HaiEnergy influence network,CN,,known_fimi_infrastructure,,,People's Republic of China,high,True,manual_core_actor,china_information_space|influence_for_hire,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.mandiant.com/resources/blog/pro-prc-influence-campaign-hai-energy,2026-07-18,
cn_paperwall,Paperwall network,CN,,known_fimi_infrastructure,,,People's Republic of China,high,True,manual_core_actor,china_information_space|pseudo_local_media,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://citizenlab.ca/2024/02/paperwall-chinese-websites-local-news-outlets/,2026-07-18,
cn_spamouflage,Spamouflage / Dragonbridge,CN,,known_fimi_infrastructure,,,People's Republic of China,critical,True,manual_core_actor,china_information_space|inauthentic_accounts,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://blog.google/threat-analysis-group/over-50000-instances-of-dragonbridge-activity-disrupted-in-2022/,2026-07-18,
cn_cosco,COSCO Shipping,CN,,maritime_state_corporate_source,,,People's Republic of China,high,True,manual_core_actor,china_information_space|shipping|ports,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://en.coscoshipping.com/,2026-07-18,
cn_china_merchants_port,China Merchants Port,CN,,maritime_state_corporate_source,,,People's Republic of China,normal,True,manual_core_actor,china_information_space|ports,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.cmport.com.hk/,2026-07-18,
cn_china_coast_guard,China Coast Guard,CN,,maritime_state_source,,,People's Republic of China,high,True,manual_core_actor,china_information_space|maritime|coast_guard,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.ccg.gov.cn/,2026-07-18,
cn_maritime_safety_admin,China Maritime Safety Administration,CN,,maritime_state_source,,,People's Republic of China,high,True,manual_core_actor,china_information_space|maritime|shipping,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.msa.gov.cn/,2026-07-18,
cn_china_military,China Military / PLA Daily,CN,,military_state_media,,,People's Republic of China,high,True,manual_core_actor,china_information_space|military,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,http://eng.chinamil.com.cn/,2026-07-18,
cn_belt_road_portal,Belt and Road Portal,CN,,official_state_source,,,People's Republic of China,normal,True,manual_core_actor,china_information_space|belt_and_road,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://eng.yidaiyilu.gov.cn/,2026-07-18,
cn_mfa,China MFA Spokesperson,CN,,official_state_source,,,People's Republic of China,critical,True,manual_core_actor,china_information_space|diplomatic_messaging,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.mfa.gov.cn/eng/,2026-07-18,
cn_embassy_germany,Embassy of China in Germany,CN,DE,official_state_source,,,People's Republic of China,critical,True,manual_core_actor,china_information_space|german_language,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,http://de.china-embassy.gov.cn/det/,2026-07-18,
cn_scio,State Council Information Office,CN,,official_state_source,,,People's Republic of China,high,True,manual_core_actor,china_information_space|official_origin,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,http://english.scio.gov.cn/,2026-07-18,
cn_global_times,Global Times,CN,,state_aligned_media,,,People's Republic of China,high,True,manual_core_actor,china_information_space|international_narratives,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.globaltimes.cn/,2026-07-18,
cn_cctv,CCTV,CN,,state_media,,,People's Republic of China,high,True,manual_core_actor,china_information_space|television,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://english.cctv.com/,2026-07-18,
cn_cgtn,CGTN,CN,,state_media,,,People's Republic of China,critical,True,manual_core_actor,china_information_space|international_broadcast,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.cgtn.com/,2026-07-18,
cn_china_daily,China Daily,CN,,state_media,,,People's Republic of China,high,True,manual_core_actor,china_information_space|international,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://www.chinadaily.com.cn/,2026-07-18,
cn_peoples_daily,People's Daily,CN,,state_media,,,People's Republic of China,high,True,manual_core_actor,china_information_space|party_media,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,http://en.people.cn/,2026-07-18,
cn_xinhua,Xinhua News Agency,CN,,state_media,,,People's Republic of China,critical,True,manual_core_actor,china_information_space|official_news_agency,,zh|en|de,public_only,metadata_analysis_and_short_excerpts,not_required_official_or_source_family,https://english.news.cn/,2026-07-18,
de_auf1,AUF1,DE,,bridge_media,,,,critical,True,manual_core_source,german_information_space|cross_border|telegram_priority,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://auf1.tv/,2026-07-18,
de_anti_spiegel,Anti-Spiegel,DE,,bridge_media,,,,critical,True,manual_core_source,german_information_space|russia_narrative_bridge,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://anti-spiegel.ru/,2026-07-18,
de_apollo_news,Apollo News,DE,,bridge_media,,,,critical,True,manual_core_source,german_information_space|alternita_source,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://apollo-news.net/,2026-07-18,
de_apolut,Apolut,DE,,bridge_media,,,,high,True,manual_core_source,german_information_space|telegram_priority,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://apolut.net/,2026-07-18,
de_compact,COMPACT,DE,,bridge_media,,,,high,True,manual_core_source,german_information_space|legal_status_review|high_reach,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.compact-online.de/,2026-07-18,
de_epoch_times,Epoch Times Deutsch,DE,,bridge_media,,,,high,True,manual_core_source,german_information_space|cross_border,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.epochtimes.de/,2026-07-18,
de_junge_freiheit,Junge Freiheit,DE,,bridge_media,,,,critical,True,manual_core_source,german_information_space|alternita_source,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://jungefreiheit.de/,2026-07-18,
de_nius,NIUS,DE,,bridge_media,,,,critical,True,manual_core_source,german_information_space|alternita_source|high_reach,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.nius.de/,2026-07-18,
ref_bsi,Bundesamt für Sicherheit in der Informationstechnik,DE,,factcheck_reference,,,,high,True,manual_core_actor,reference_source,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.bsi.bund.de/,2026-07-18,
ref_bfv,Bundesamt für Verfassungsschutz,DE,,factcheck_reference,,,,high,True,manual_core_actor,reference_source,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.verfassungsschutz.de/,2026-07-18,
ref_correctiv,CORRECTIV Faktencheck,DE,,factcheck_reference,,,,high,True,manual_core_actor,reference_source,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://correctiv.org/faktencheck/,2026-07-18,
ref_dw_factcheck,DW Faktencheck,DE,,factcheck_reference,,,,high,True,manual_core_actor,reference_source,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.dw.com/de/faktencheck/t-56728869,2026-07-18,
ref_tagesschau_faktenfinder,Tagesschau Faktenfinder,DE,,factcheck_reference,,,,high,True,manual_core_actor,reference_source,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.tagesschau.de/faktenfinder/,2026-07-18,
ref_dpa_factcheck,dpa-Faktencheck,DE,,factcheck_reference,,,,high,True,manual_core_actor,reference_source,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.dpa.com/de/faktencheck,2026-07-18,
de_auswaertiges_amt,Auswärtiges Amt,DE,,government_source,,,,critical,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.auswaertiges-amt.de/,2026-07-18,
de_bmvg,Bundesministerium der Verteidigung,DE,,government_source,,,,critical,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.bmvg.de/,2026-07-18,
de_bundesregierung,Bundesregierung,DE,,government_source,,,,critical,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.bundesregierung.de/,2026-07-18,
de_julian_reichelt,Julian Reichelt,DE,,high_reach_political_influencer,,,,critical,True,manual_core_source,german_information_space|nius|high_reach,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.nius.de/,2026-07-18,
de_martin_sellner,Martin Sellner,DE,,high_reach_political_influencer,,,,critical,True,manual_core_source,german_information_space|identitarian_network|cross_border,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.martin-sellner.at/,2026-07-18,
de_naomi_seibt,Naomi Seibt,DE,,high_reach_political_influencer,,,,high,True,manual_core_source,german_information_space|international_amplification,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://x.com/SeibtNaomi,2026-07-18,
de_tim_kellner,Tim Kellner,DE,,high_reach_political_influencer,,,,high,True,manual_core_source,german_information_space|youtube_priority,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.youtube.com/@TimKellner,2026-07-18,
de_manova,Manova,DE,,independent_media,,,,normal,True,manual_core_source,german_information_space|russia_policy,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.manova.news/,2026-07-18,
de_multipolar,Multipolar,DE,,independent_media,,,,normal,True,manual_core_source,german_information_space|pandemic_narratives,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://multipolar-magazin.de/,2026-07-18,
de_nachdenkseiten,NachDenkSeiten,DE,,independent_media,,,,high,True,manual_core_source,german_information_space|russia_policy,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.nachdenkseiten.de/,2026-07-18,
de_overton,Overton Magazin,DE,,independent_media,,,,normal,True,manual_core_source,german_information_space|russia_policy,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://overton-magazin.de/,2026-07-18,
de_reitschuster,Reitschuster,DE,,independent_media,,,,high,True,manual_core_source,german_information_space|telegram_priority,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://reitschuster.de/,2026-07-18,
de_tichys_einblick,Tichys Einblick,DE,,independent_media,,,,high,True,manual_core_source,german_information_space|high_reach,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.tichyseinblick.de/,2026-07-18,
de_junge_welt,Junge Welt,DE,,media_outlet,,,,normal,True,manual_core_source,german_information_space|left_media,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.jungewelt.de/,2026-07-18,
de_afd_bundestag,AfD-Bundestagsfraktion,DE,,parliamentary_group,AfD,,,critical,True,manual_core_actor,german_political|afd|official_origin,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://afdbundestag.de/,2026-07-18,
de_linke_bundestag,Gruppe Die Linke im Bundestag,DE,,parliamentary_group,Die Linke,,,high,True,manual_core_actor,german_political|die_linke|official_origin,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.die-linke-im-bundestag.de/,2026-07-18,
de_deutschland_kurier,Deutschland-Kurier,DE,,party_aligned_media,,,,high,True,manual_core_source,german_information_space|afd_aligned,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://deutschlandkurier.de/,2026-07-18,
de_afd_bund,Alternative für Deutschland — Bundespartei,DE,,party_channel,AfD,,,critical,True,manual_core_actor,german_political|afd|official_origin,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.afd.de/,2026-07-18,
de_gruene_bund,Bündnis 90/Die Grünen,DE,,party_channel,Greens,,,high,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.gruene.de/,2026-07-18,
de_bsw_bund,Bündnis Sahra Wagenknecht — Bundespartei,DE,,party_channel,BSW,,,critical,True,manual_core_actor,german_political|bsw|official_origin,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://bsw-vg.de/impressum/,2026-07-18,
de_cdu_bund,CDU Deutschlands,DE,,party_channel,CDU,,,high,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.cdu.de/,2026-07-18,
de_csu_bund,Christlich-Soziale Union,DE,,party_channel,CSU,,,high,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.csu.de/,2026-07-18,
de_linke_bund,Die Linke — Bundespartei,DE,,party_channel,Die Linke,,,critical,True,manual_core_actor,german_political|die_linke|official_origin,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.die-linke.de/,2026-07-18,
de_fdp_bund,Freie Demokratische Partei,DE,,party_channel,FDP,,,high,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.fdp.de/,2026-07-18,
de_spd_bund,SPD Deutschlands,DE,,party_channel,SPD,,,high,True,manual_core_actor,german_political|control_and_comparison|official_origin,,de|en,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.spd.de/,2026-07-18,
de_afd_tv,AfD TV,DE,,party_media,AfD,,,high,True,manual_core_actor,german_political|afd|party_media,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.youtube.com/@AfDTV,2026-07-18,
de_generation_deutschland,Generation Deutschland,DE,,party_youth_channel,AfD,,,high,True,manual_core_actor,german_political|afd|party_youth,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.afd.de/generation-deutschland/,2026-07-18,
de_jsw_bund,Jugendbündnis Sahra Wagenknecht,DE,,party_youth_channel,BSW,,,normal,True,manual_core_actor,german_political|bsw|party_youth,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://bsw-vg.de/,2026-07-18,
de_linksjugend,Linksjugend solid,DE,,party_youth_channel,Die Linke,,,normal,True,manual_core_actor,german_political|die_linke|party_youth,,de,public_only,metadata_analysis_and_short_excerpts,not_required_official_channel,https://www.linksjugend-solid.de/,2026-07-18,
de_alexander_dobrindt,Alexander Dobrindt,DE,,political_actor,CSU,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|interior_minister,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
de_alice_weidel,Alice Weidel,DE,,political_actor,AfD,,,critical,True,manual_core_actor|reach_or_activity_review,german_political|afd_and_adjacent|party_leadership|high_reach|alternita_relevant,Bundessprecherin und Bundestagsfraktionsvorsitzende.,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://www.bundestag.de/abgeordnete/biografien/W/weidel_alice-1048026,2026-07-18,
de_amid_rabieh,Amid Rabieh,DE,,political_actor,BSW,,,normal,True,manual_core_actor|reach_or_activity_review,german_political|bsw_and_legacy|party_leadership,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://bsw-vg.de/partei/parteivorstand/,2026-07-18,
de_amira_mohamed_ali,Amira Mohamed Ali,DE,,political_actor,BSW,,,critical,True,manual_core_actor|reach_or_activity_review,german_political|bsw_and_legacy|party_leadership,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://bsw-vg.de/partei/parteivorstand/,2026-07-18,
de_annalena_baerbock,Annalena Baerbock,DE,,political_actor,Greens,,,high,True,control_group|reach_or_activity_review,german_political|control_and_comparison|international_diplomacy|frequent_target,,de,public_only,metadata_analysis_and_short_excerpts,bootstrap_required,https://search.gesis.org/research_data/ZA9076,2026-07-18,
